Cluster ID,confidence_score,﻿Id,id_2,Source,Account_Name,Billing,Industry,canonical_Id,canonical_id_2,canonical_Source,canonical_Account_Name,canonical_Billing,canonical_Industry
843,,0,1_LW,_LW,"1-800-Battery, Inc",California,,,,,,,
844,,1,2 LW, LW,1SYNC,New Jersey,Technology,,,,,,
845,,2,3 LW, LW,3M (fka CodeRyte),Maryland,Technology,,,,,,
0,0.99121505,3,4 LW, LW,A1 Telekom Austria AG,Vienna,Telecommunications,b'3',b'4 lw',b'lw',b'a1 telekom austria ag',b'vienna',b'telecommunications'
846,,4,5 LW, LW,AbbVie Inc.,Illinois,Healthcare & Pharmaceuticals,,,,,,
847,,5,6 LW, LW,Accenture Inc.,Illinois,"Services,Technology",,,,,,
848,,6,7 LW, LW,ACE Group,Pennsylvania,Financial,,,,,,
2,0.94627297,7,8 LW, LW,Ace Hardware Corporation,Illinois,Services,b'7',b'8 lw',b'lw',b'ace hardware corporation',b'illinois',b'services'
849,,8,9 LW, LW,Aerospace Corporation,California,Consulting,,,,,,
850,,9,10 LW, LW,Aetna Inc.,Connecticut,"Financial,Healthcare & Pharmaceuticals",,,,,,
851,,10,11 LW, LW,Age of Learning,California,Software,,,,,,
852,,11,12 LW, LW,Allstate Corporation,Illinois,Financial,,,,,,
853,,12,13 LW, LW,AMA,Illinois,Associations,,,,,,
3,0.9761295,13,14 LW, LW,Amdocs,Missouri,Technology,b'13',b'14 lw',b'lw',b'amdocs',b'missouri',b'technology'
854,,14,15 LW, LW,American Express Company,New York,"Financial,Services",,,,,,
5,1.4196582e-06,15,16 LW, LW,American Health Information Management,Illinois,Not For Profit,b'15',b'16 lw',b'lw',b'american health information management',b'illinois',b'not for profit'
855,,16,17 LW, LW,Amerigroup,Virginia,Managed Care,,,,,,
6,0.8351625,17,18 LW, LW,Amgen Inc.,California,Healthcare & Pharmaceuticals,b'17',b'18 lw',b'lw',b'amgen inc.',b'california',b'healthcare & pharmaceuticals'
7,0.7784240245819092,18,19 LW, LW,Apple Inc.,California,Technology,b'18',b'19 lw',b'lw',b'apple inc.',b'california',b'technology'
8,0.01611328,19,20 LW, LW,"Arrow Electronics, Inc.",Colorado,"Services,Technology",b'19',b'20 lw',b'lw',"b'arrow electronics, inc.'",b'colorado',"b'services,technology'"
856,,20,21 LW, LW,AT&T Inc.,Texas,Technology,,,,,,
857,,21,22 LW, LW,"Automatic Data Processing, Inc.",New Jersey,"Services,Technology,Financial",,,,,,
9,0.8669442,22,23 LW, LW,Avery Dennison Corporation,California,Industrials,b'22',b'23 lw',b'lw',b'avery dennison corporation',b'california',b'industrials'
10,0.007337652,23,24 LW, LW,Banca d'Italia,,Banking,b'23',b'24 lw',b'lw',"b""banca d'italia""",b'cuneo',b'banking'
858,,24,25 LW, LW,Banco Bradesco,,Banks: Commercial and Savings,,,,,,
11,0.0037738825,25,26 LW, LW,Bank of America Corporation,North Carolina,Financial,b'25',b'26 lw',b'lw',b'bank of america corporation',b'north carolina',b'financial'
859,,26,27 LW, LW,Bank of New York Mellon Corporation,New York,Investment Services,,,,,,
860,,27,28 LW, LW,BBP,,Accounting & Finance Software,,,,,,
861,,28,29 LW, LW,Bed Bath & Beyond,New Jersey,Specialty Retailers: Other,,,,,,
862,,29,30 LW, LW,Bell Helicopter,Texas,Industrials,,,,,,
863,,30,31 LW, LW,Bibliothèque et Archives nationales du Québec,QC,Education,,,,,,
864,,31,32 LW, LW,Bissell,Michigan,Electrical Housewares,,,,,,
865,,32,33 LW, LW,Blizzard Entertainment,California,Entertainment,,,,,,
12,0.12845251,33,34 LW, LW,BlueCross BlueShield Association,Illinois,Insurance,b'33',b'34 lw',b'lw',b'bluecross blueshield association',b'illinois',b'insurance'
13,0.9263941,34,35 LW, LW,"Bluestem Brands, Inc.",Minnesota,Services,b'34',b'35 lw',b'lw',"b'bluestem brands, inc.'",b'minnesota',b'services'
866,,35,36 LW, LW,BMW,,Motor Vehicles and Parts,,,,,,
867,,36,37 LW, LW,Booking.com International B.V.,,Consumer Services,,,,,,
868,,37,38 LW, LW,BP America Inc.,Texas,Energy & Utilities,,,,,,
869,,38,39 LW, LW,Bridge2 Solutions,Georgia,Technology,,,,,,
14,0.9985036849975586,39,40 LW, LW,Bridgestone,,,b'39',b'1684_cv',b'_cv',b'bridgestone',b'sao paulo',b'manufacturing'
870,,40,41 LW, LW,BWI Bundeswehr,,Government,,,,,,
871,,41,42 LW, LW,Canadian Government Bureau de Distribution,Quebec,,,,,,,
872,,42,43 LW, LW,Canadian Institute for Health Information (CIHI),Ontario,Hospitals and Healthcare Providers,,,,,,
873,,43,44 LW, LW,Canadian National Railway Company,Quebec,Transportation,,,,,,
874,,44,45 LW, LW,Captain America,District of Columbia,Government,,,,,,
15,1.3129839e-05,45,46 LW, LW,"Cardinal Health, Inc.",Ohio,Healthcare & Pharmaceuticals,b'45',b'46 lw',b'lw',"b'cardinal health, inc.'",b'ohio',b'healthcare & pharmaceuticals'
875,,46,47 LW, LW,Carl Zeiss AG,,Electronics,,,,,,
876,,47,48 LW, LW,Carnegie Mellon,Pennsylvania,Education,,,,,,
877,,48,49 LW, LW,CB&I,Texas,Industrials,,,,,,
878,,49,50 LW, LW,Census,District of Columbia,Government,,,,,,
17,0.9729729,50,51 LW, LW,CGI Group Inc.,Quebec,"Services,Technology",b'50',b'51 lw',b'lw',b'cgi group inc.',b'quebec',"b'services,technology'"
879,,51,52 LW, LW,Children's Health System of Texas,Texas,Health Care,,,,,,
18,6.2013814e-06,52,53 LW, LW,Chubb Corporation,New Jersey,Insurance,b'52',b'53 lw',b'lw',b'chubb corporation',b'new jersey',b'insurance'
880,,53,54 LW, LW,Cincinnati Children's Hospital Medical Center,Ohio,Healthcare & Pharmaceuticals,,,,,,
19,3.2914373e-05,54,55 LW, LW,Cincinnati Financial Corporation,Ohio,Financial,b'54',b'55 lw',b'lw',b'cincinnati financial corporation',b'ohio',b'financial'
20,0.5750137,55,56 LW, LW,"Cirrus Logic, Inc.",Texas,Technology,b'55',b'56 lw',b'lw',"b'cirrus logic, inc.'",b'texas',b'technology'
21,0.9870511591434479,56,57 LW, LW,"Cisco Systems, Inc.",California,Technology,b'2803',b'2539_cv',b'_cv',"b'cisco systems, inc.'",b'ca',b'technology'
881,,57,58 LW, LW,City of Delft,,Government,,,,,,
882,,58,59 LW, LW,City of Sacramento,California,Government,,,,,,
883,,59,60 LW, LW,CMU,PA,Education,,,,,,
884,,60,61 LW, LW,Cobird,California,Retail,,,,,,
885,,61,62 LW, LW,Comcast Corporation,Pennsylvania,Technology,,,,,,
886,,62,63 LW, LW,"Commonwealth of PA, Dept of Labor and Industry",Pennsylvania,Government,,,,,,
887,,63,64 LW, LW,"CommVault Systems, Inc.",New Jersey,Computer Software,,,,,,
23,0.0021658596,64,65 LW, LW,Compass Group North America,North Carolina,Services,b'64',b'65 lw',b'lw',b'compass group north america',b'north carolina',b'services'
888,,65,66 LW, LW,"Compusearch Software Systems, Inc. (f/k/a FedBid, Inc.)",Virginia,Government,,,,,,
889,,66,67 LW, LW,Corning,New York,Network/Communications Equipment,,,,,,
24,0.9949008822441101,67,68 LW, LW,County of Sacramento Department of Technology,California,Government,b'67',b'68 lw',b'lw',b'county of sacramento department of technology',b'california',b'government'
890,,68,69 LW, LW,Cricket Communications / Leap Wireless,California,Telecom,,,,,,
